session_id,session_z,hits,first_at_trial,at_count,t1_thinking_chars,mean_t2plus_thinking_chars,mean_stmt_chars,ats_total,ats_section_a,ats_section_b,ranking_rho,s1_rankings_valid,s2_rankings_valid,irr_pct_agreement,irr_kappa,B3_probe_q9,probe_length,depth_L3_count,batch_id_scored
20260322_230540_CA_FORMAL,0.0034,5,2,9,174,26.8,293.6,16,10,6,-0.4634,True,True,0.6666666666666666,0.30769230769230765,2,3876,10,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_230730_CA_FORMAL,-1.0244,4,2,9,164,26.4,262.3,14,8,6,-0.2561,True,True,0.8888888888888888,0.7804878048780487,2,3641,10,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_230949_CA_FORMAL,0.2503,3,2,9,175,45.4,226.8,12,6,6,0.2371,True,True,0.7777777777777778,0.5909090909090909,2,3796,9,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_231202_CA_FORMAL,-2.4104,2,3,8,223,66.7,236.8,11,5,6,0.0122,True,True,0.8888888888888888,0.7857142857142856,2,3880,9,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_231352_CA_FORMAL,-0.3723,4,2,9,175,16.9,139.4,12,6,6,-0.4255,True,True,0.8888888888888888,0.8125,2,3600,10,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_231532_CA_FORMAL,0.2893,3,4,7,176,66.0,197.4,12,6,6,0.0488,True,True,0.7777777777777778,0.6000000000000001,2,3442,9,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_231740_CA_FORMAL,-0.5439,6,2,9,114,22.7,181.7,14,8,6,0.6768,True,True,0.8888888888888888,0.7804878048780487,2,3951,10,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_231920_CA_FORMAL,0.3543,5,2,9,129,45.8,218.8,13,7,6,-0.0554,True,True,0.8888888888888888,0.7692307692307692,2,3819,10,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_232107_CA_FORMAL,1.3038,8,2,9,207,44.1,224.6,12,6,6,0.1098,True,True,1.0,1.0,2,2630,10,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_232300_CA_FORMAL,1.7202,8,3,8,153,83.8,308.9,10,4,6,0.0309,True,True,0.7777777777777778,0.6326530612244898,2,3658,9,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_232442_CA_FORMAL,1.6124,7,2,9,160,36.3,225.7,14,8,6,-0.2516,True,True,0.7777777777777778,0.6250000000000001,2,3573,10,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_232620_CA_FORMAL,-1.3227,3,3,8,172,69.7,231.5,11,5,6,-0.2508,True,True,0.8888888888888888,0.7954545454545454,2,3033,9,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_232759_CA_FORMAL,-0.2657,4,3,8,162,68.2,314.6,11,5,6,0.372,True,True,0.8888888888888888,0.8235294117647058,2,3297,10,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_232939_CA_FORMAL,-1.5692,4,3,8,162,64.3,205.4,12,6,6,-0.1098,True,True,0.7777777777777778,0.6000000000000001,2,3648,8,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_233124_CA_FORMAL,-0.1237,4,5,6,104,59.2,263.5,12,6,6,-0.1281,True,True,1.0,1.0,2,3648,10,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_233305_CA_FORMAL,-0.5725,5,2,9,129,48.8,212.9,12,6,6,-0.2927,True,True,1.0,1.0,2,3568,9,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
